category,name,kind,mlir_name,generated,emitted,lowered,test
stmt,ForAllSingle,ASR_DIALECT_OP_STMT_FORALLSINGLE,asr.for_all_single,yes,yes,unsupported,no
stmt,ForEach,ASR_DIALECT_OP_STMT_FOREACH,asr.for_each,yes,yes,unsupported,no
stmt,GoTo,ASR_DIALECT_OP_STMT_GOTO,asr.go_to,yes,yes,unsupported,no
stmt,GoToTarget,ASR_DIALECT_OP_STMT_GOTOTARGET,asr.go_to_target,yes,yes,unsupported,no
stmt,GpuKernelLaunch,ASR_DIALECT_OP_STMT_GPUKERNELLAUNCH,asr.gpu_kernel_launch,yes,yes,unsupported,no
stmt,GpuSync,ASR_DIALECT_OP_STMT_GPUSYNC,asr.gpu_sync,yes,yes,unsupported,no
stmt,If,ASR_DIALECT_OP_STMT_IF,asr.if,yes,yes,implemented,focus
stmt,IfArithmetic,ASR_DIALECT_OP_STMT_IFARITHMETIC,asr.if_arithmetic,yes,yes,unsupported,no
stmt,ImplicitDeallocate,ASR_DIALECT_OP_STMT_IMPLICITDEALLOCATE,asr.implicit_deallocate,yes,yes,unsupported,no
stmt,IntrinsicImpureSubroutine,ASR_DIALECT_OP_STMT_INTRINSICIMPURESUBROUTINE,asr.intrinsic_impure_subroutine,yes,yes,implemented,focus
stmt,ListAppend,ASR_DIALECT_OP_STMT_LISTAPPEND,asr.list_append,yes,yes,unsupported,no
stmt,ListClear,ASR_DIALECT_OP_STMT_LISTCLEAR,asr.list_clear,yes,yes,unsupported,no
stmt,ListInsert,ASR_DIALECT_OP_STMT_LISTINSERT,asr.list_insert,yes,yes,unsupported,no
stmt,ListRemove,ASR_DIALECT_OP_STMT_LISTREMOVE,asr.list_remove,yes,yes,unsupported,no
stmt,Nullify,ASR_DIALECT_OP_STMT_NULLIFY,asr.nullify,yes,yes,unsupported,no
stmt,OMPRegion,ASR_DIALECT_OP_STMT_OMPREGION,asr.o_m_p_region,yes,yes,unsupported,no
stmt,Print,ASR_DIALECT_OP_STMT_PRINT,asr.print,yes,yes,implemented,focus
stmt,ReAlloc,ASR_DIALECT_OP_STMT_REALLOC,asr.re_alloc,yes,yes,unsupported,no
stmt,Return,ASR_DIALECT_OP_STMT_RETURN,asr.return,yes,yes,implemented,focus
stmt,Select,ASR_DIALECT_OP_STMT_SELECT,asr.select,yes,yes,unsupported,no
stmt,SelectRank,ASR_DIALECT_OP_STMT_SELECTRANK,asr.select_rank,yes,yes,unsupported,no
stmt,SelectType,ASR_DIALECT_OP_STMT_SELECTTYPE,asr.select_type,yes,yes,unsupported,no
stmt,SetClear,ASR_DIALECT_OP_STMT_SETCLEAR,asr.set_clear,yes,yes,unsupported,no
stmt,SetInsert,ASR_DIALECT_OP_STMT_SETINSERT,asr.set_insert,yes,yes,unsupported,no
stmt,SetRemove,ASR_DIALECT_OP_STMT_SETREMOVE,asr.set_remove,yes,yes,unsupported,no
stmt,Stop,ASR_DIALECT_OP_STMT_STOP,asr.stop,yes,yes,unsupported,no
stmt,SubroutineCall,ASR_DIALECT_OP_STMT_SUBROUTINECALL,asr.subroutine_call,yes,yes,unsupported,no
stmt,SyncAll,ASR_DIALECT_OP_STMT_SYNCALL,asr.sync_all,yes,yes,unsupported,no
